Model Year,Model,Title State/Type,Location,Auction Date,Auctual Cash Value,Actual Cash Value Currency,Repair Cost,Repair Cost Currency,Odometer,Prim Damage,Sec Damage,Price Sold or Highest Bid,Price Sold or Highest Bid Currency
2020,Toyota CAMRY SE,CA CQ,RENTAL VEHICLE SALE,2020-04-29,,,,,3776 A,Front end,,12400.0,USD $
2020,Toyota COROLLA LE,CA CQ,RENTAL VEHICLE SALE,2020-04-29,,,,,15536 A,Front end,,6900.0,USD $
2020,Toyota COROLLA LE,PA SC,PA - PHILADELPHIA,2020-04-29,19125.0,USD $,,,1551 A,Front end,,4700.0,USD $
2020,Toyota COROLLA SE,GA ST,GA - ATLANTA EAST,2020-04-28,17422.0,USD $,,,13899 A,Front end,Rear end,6400.0,USD $
2020,Toyota RAV4 XLE,MT CT,MI - FLINT,2020-04-24,23875.0,USD $,,,5420 A,Front end,,8900.0,USD $
2020,Toyota COROLLA LE,OH CT,OH - DAYTON,2020-04-22,20290.0,USD $,,,13850 A,Front end,,10700.0,USD $
2020,Toyota CAMRY LE,TN RC,FL - MIAMI NORTH,2020-04-21,,,,,14 A,Water/flood,,13000.0,USD $
2020,Toyota CAMRY LE,NY CT,NY - ALBANY,2020-04-20,,,,,6503 A,Side,Rear end,11000.0,USD $
2020,Toyota COROLLA LE,TN RC,FL - MIAMI NORTH,2020-04-20,,,,,7 A,Water/flood,,9800.0,USD $
2020,Toyota COROLLA LE,GA ST,GA - TIFTON,2020-04-18,15140.0,USD $,,,17974 A,Front end,Rear end,3900.0,USD $
2020,Toyota COROLLA LE,CO CT,FL - MIAMI CENTRAL,2020-04-17,24513.0,USD $,,,14475 A,Normal wear,Minor dent/scratches,13900.0,USD $
2020,Toyota COROLLA LE,NJ SC,NJ - SOMERVILLE,2020-04-17,20959.0,USD $,12063.0,USD $,115 N,Rear end,Minor dent/scratches,9600.0,USD $
2020,Toyota COROLLA SE,GA ST,GA - ATLANTA WEST,2020-04-17,17974.0,USD $,11689.0,USD $,6002 A,Front end,Side,7800.0,USD $
2020,Toyota SIENNA XLE,TX SV,CA - LOS ANGELES,2020-04-16,40810.0,USD $,,,1504 A,Rear end,,21000.0,USD $
2020,Toyota COROLLA SE,CA SC,CA - SAN BERNARDINO,2020-04-16,19559.0,USD $,,,7850 A,Rear end,Side,7100.0,USD $
2020,Toyota COROLLA LE,CA SC,CA - MARTINEZ,2020-04-15,16037.0,USD $,,,0 N,Front end,,3600.0,USD $
2020,Toyota CAMRY SE,CA SC,CA - MARTINEZ,2020-04-15,24570.0,USD $,,,0 N,Front end,Side,5300.0,USD $
2020,Toyota COROLLA LE,GA ST,GA - ATLANTA SOUTH,2020-04-14,17816.0,USD $,,,3551 A,Front end,Side,3900.0,USD $
2020,Toyota COROLLA L,FL CD,GA - ATLANTA SOUTH,2020-04-14,19084.0,USD $,23705.0,USD $,3295 A,All over,Mechanical,1500.0,USD $
2020,Toyota COROLLA LE,CO CT,FL - MIAMI CENTRAL,2020-04-14,,,,,14465 A,Normal wear,Minor dent/scratches,13900.0,USD $
2020,Toyota COROLLA LE,GA ST,GA - ATLANTA WEST,2020-04-14,17875.0,USD $,,,3136 A,Rear end,Side,6900.0,USD $
2020,Toyota RAV4 XLE,CA SC,CA - RANCHO CUCAMONGA,2020-04-14,27532.0,USD $,100.0,USD $,3837 A,Front end,,8800.0,USD $
2020,Toyota SIENNA XLE,CA SC,CA - LOS ANGELES,2020-04-13,41471.0,USD $,,,4503 A,Minor dent/scratches,,21000.0,USD $
2020,Toyota CAMRY TRD,TN RC,FL - ORLANDO SOUTH,2020-04-10,,,,,8 A,Water/flood,,21900.0,USD $
